Campaign,Ad Group,Keyword,Match Type,Max CPC,Status
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","[mtd registration]",Exact,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","[register for mtd]",Exact,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","[making tax digital registration]",Exact,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","[how to register for making tax digital]",Exact,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","[mtd for income tax]",Exact,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","[mtd itsa registration]",Exact,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","[making tax digital income tax self assessment]",Exact,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","[mtd itsa 2026]",Exact,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","[register for making tax digital 2026]",Exact,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","""mtd registration""",Phrase,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","""making tax digital register""",Phrase,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","""mtd for income tax registration""",Phrase,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","""sign up for mtd""",Phrase,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","making tax digital registration help",Broad,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","mtd income tax sign up",Broad,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Registration Core","register hmrc digital tax",Broad,4.00,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Software/Tool","[mtd software]",Exact,3.50,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Software/Tool","[mtd compliant software]",Exact,3.50,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Software/Tool","[making tax digital software]",Exact,3.50,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Software/Tool","[best mtd software]",Exact,3.50,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Software/Tool","[mtd app uk]",Exact,3.50,Enabled
"[GeniusTax] MTD High-Intent Search","MTD Software/Tool","[mtd bridging software]",Exact,3.50,Enabled
